CO_UF_PROVA,VARIACAO_2019_2020,VARIACAO_2019_2021
11,-4.665629860031103,14.463452566096421
12,11.504424778761063,7.964601769911511
13,18.51851851851852,11.424984306340235
14,18.91891891891892,2.702702702702709
15,7.330915970361033,3.9255872615481593
16,2.90598290598291,1.538461538461533
17,44.90131578947367,41.44736842105263
21,12.554585152838428,14.010189228529839
22,12.78998778998779,11.355311355311358
23,12.45715988675309,8.046490835940986
24,20.65563335455124,16.77275620623807
25,19.104182133135367,11.259589210591443
26,26.045454545454547,25.25757575757575
27,36.69209152950623,33.56081894821358
28,19.224620303756993,10.471622701838527
29,27.68114272549245,30.872019352609158
31,32.726112843776576,32.577261128437755
32,21.71512697828487,17.04085388295914
33,34.10091432441584,30.505700417654367
35,45.04070796460178,35.22359882005901
41,48.593006414235475,44.59962756052141
42,35.8852548876302,42.93805956513796
43,44.581807081807085,39.102564102564116
50,31.4491264131552,20.09249743062692
51,38.810336421257915,39.639200390053645
52,35.585821547057805,25.632966649205514
53,25.11423871321513,11.131420215682695
