CO_UF_PROVA,VARIACAO_2019_2020,VARIACAO_2019_2021
11,18.940961445616935,-44.7117042554659
12,8.197149271654567,-47.86717485511408
13,38.59855342296504,-24.49399833549262
14,30.52457986492854,-38.526778702685725
15,18.60018298261666,-34.35096065873742
16,11.050026179256506,-49.59303155790376
17,27.7973751670647,-34.24114283210271
21,9.219973435627836,-42.05437336875249
22,10.036459558452904,-35.884102288383346
23,10.358236810245842,-26.019432968054588
24,9.68952546545357,-33.59184692322921
25,11.88877633003807,-31.878296712893416
26,14.339621237212384,-31.024460677962324
27,13.526387505295816,-39.018469536143265
28,12.154870634064167,-32.840260047903556
29,12.892441033649988,-34.10843292496884
31,7.294478374385463,-40.61193006184236
32,2.962151954678774,-38.72694764755514
33,12.957223336790918,-33.159833290890006
35,9.748518319836094,-41.488595748531246
41,11.719896845863914,-35.37740527673081
42,8.068348126888793,-30.68063026248265
43,13.090030530821025,-33.28992011023183
50,19.78611188218622,-41.3370929332184
51,14.88323457650749,-38.1654467294063
52,23.774908220854414,-21.024273529250607
53,21.807298236296447,-32.03987696120737
