local,date,inscritos
Norte,2009-01-01,109371
Norte,2010-01-01,164882
Norte,2011-01-01,240132
Norte,2012-01-01,261115
Norte,2013-01-01,330029
Norte,2014-01-01,433868
Norte,2015-01-01,367330
Norte,2016-01-01,441188
Norte,2017-01-01,356845
Norte,2018-01-01,283861
Norte,2019-01-01,281518
Norte,2020-01-01,332836
Norte,2021-01-01,186875
