local,date,inscritos
Brasil,2009-12-31,4148720
Brasil,2010-12-31,4626094
Brasil,2011-12-31,5380856
Brasil,2012-12-31,5791065
Brasil,2013-12-31,7173563
Brasil,2014-12-31,8722248
Brasil,2015-12-31,7746427
Brasil,2016-12-31,8627367
Brasil,2017-12-31,6731341
Brasil,2018-12-31,5513747
Brasil,2019-12-31,5095270
Brasil,2020-12-31,5783133
Brasil,2021-12-31,3389832
