,CO_UF_PROVA,TP_ADM_GERAL,TP_ADM_PUBLICA,TP_ADM_PRIVADA
252,23,325680,288273,6711
253,23,325680,288273,7547
254,23,325680,288273,7251
255,23,325680,318133,6711
256,23,325680,318133,7547
257,23,325680,318133,7251
258,23,325680,213266,6711
259,23,325680,213266,7547
260,23,325680,213266,7251
261,23,220517,288273,6711
262,23,220517,288273,7547
263,23,220517,288273,7251
264,23,220517,318133,6711
265,23,220517,318133,7547
266,23,220517,318133,7251
267,23,220517,213266,6711
268,23,220517,213266,7547
269,23,220517,213266,7251
270,24,119319,116177,3142
271,24,119319,116177,3791
272,24,119319,116177,3669
273,24,119319,127434,3142
274,24,119319,127434,3791
275,24,119319,127434,3669
276,24,119319,77151,3142
277,24,119319,77151,3791
278,24,119319,77151,3669
279,24,131225,116177,3142
280,24,131225,116177,3791
281,24,131225,116177,3669
282,24,131225,127434,3142
283,24,131225,127434,3791
284,24,131225,127434,3669
285,24,131225,77151,3142
286,24,131225,77151,3791
287,24,131225,77151,3669
288,24,80820,116177,3142
289,24,80820,116177,3791
290,24,80820,116177,3669
291,24,80820,127434,3142
292,24,80820,127434,3791
293,24,80820,127434,3669
294,24,80820,77151,3142
295,24,80820,77151,3791
296,24,80820,77151,3669
297,25,147176,143135,4041
298,25,147176,143135,4813
299,25,147176,143135,4496
300,25,147176,160152,4041
301,25,147176,160152,4813
302,25,147176,160152,4496
303,25,147176,97506,4041
304,25,147176,97506,4813
305,25,147176,97506,4496
306,25,164965,143135,4041
307,25,164965,143135,4813
308,25,164965,143135,4496
309,25,164965,160152,4041
310,25,164965,160152,4813
311,25,164965,160152,4496
312,25,164965,97506,4041
313,25,164965,97506,4813
314,25,164965,97506,4496
315,25,102002,143135,4041
316,25,102002,143135,4813
317,25,102002,143135,4496
318,25,102002,160152,4041
319,25,102002,160152,4813
320,25,102002,160152,4496
321,25,102002,97506,4041
322,25,102002,97506,4813
323,25,102002,97506,4496
324,26,275317,268717,6600
325,26,275317,268717,8319
326,26,275317,268717,8267
327,26,275317,307250,6600
328,26,275317,307250,8319
329,26,275317,307250,8267
330,26,275317,185349,6600
331,26,275317,185349,8319
332,26,275317,185349,8267
333,26,315569,268717,6600
334,26,315569,268717,8319
335,26,315569,268717,8267
336,26,315569,307250,6600
337,26,315569,307250,8319
338,26,315569,307250,8267
339,26,315569,185349,6600
340,26,315569,185349,8319
341,26,315569,185349,8267
342,26,193616,268717,6600
343,26,193616,268717,8319
344,26,193616,268717,8267
345,26,193616,307250,6600
346,26,193616,307250,8319
347,26,193616,307250,8267
348,26,193616,185349,6600
349,26,193616,185349,8319
350,26,193616,185349,8267
351,27,89824,87333,2491
352,27,89824,87333,3405
353,27,89824,87333,3327
354,27,89824,99146,2491
355,27,89824,99146,3405
356,27,89824,99146,3327
357,27,89824,53257,2491
358,27,89824,53257,3405
359,27,89824,53257,3327
360,27,102551,87333,2491
361,27,102551,87333,3405
362,27,102551,87333,3327
363,27,102551,99146,2491
364,27,102551,99146,3405
365,27,102551,99146,3327
366,27,102551,53257,2491
367,27,102551,53257,3405
368,27,102551,53257,3327
369,27,56584,87333,2491
370,27,56584,87333,3405
371,27,56584,87333,3327
372,27,56584,99146,2491
373,27,56584,99146,3405
374,27,56584,99146,3327
375,27,56584,53257,2491
376,27,56584,53257,3405
377,27,56584,53257,3327
378,28,78488,75986,2502
