CD_MESO,First day of the 2019 exam,First day of the 2020 exam,First day of the 2021 exam,First day of the 2022 exam,Second day of the 2019 exam,Second day of the 2020 exam,Second day of the 2021 exam,Second day of the 2022 exam
1501,9.6824686940966,38.61909481334655,20.525451559934318,25.60386473429952,13.998211091234348,42.64948794185662,24.75369458128079,29.951690821256037
1502,13.483642793987622,37.64892772041303,23.125996810207337,28.23204419889503,17.24137931034483,41.22319301032565,26.794258373205743,32.43093922651934
1503,8.829213711728206,27.250892121877573,13.87352115073623,15.303997779011661,11.880785271081272,30.25665660170189,17.005702612988337,18.649361465852305
1504,11.669052976068725,34.752839011356045,19.730667210773312,23.81156316916488,14.880343628553897,37.29124916499666,23.117731075290756,28.008565310492507
1505,10.196266156055529,40.41745730550284,23.076923076923077,26.041117554032684,14.60028721876496,44.086021505376344,26.95902228612509,30.311017395888246
1506,11.430930753804413,37.05477401975457,20.91188918814929,24.021655065738592,15.488970154535803,40.43699491170308,25.375144286263946,28.275328692962105
